기준_분기_코드,상권_코드_명,행정동명,분기당_매출_금액,전년도 분기 대비 매출증감액,전년도 분기 대비 매출증감율,생활인구(평균),점포수,생활인구(총합),사회적거리두기_2단계,지원금,2019년 1분기,2019년 2분기,2019년 3분기,2019년 4분기,2020년 1분기,2020년 2분기,2020년 3분기,2020년 4분기,확진자수
2020년 3분기,녹사평대로40나길,이태원2동,155617075,-203778783,-56.7,50903,146,101806,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,녹사평대로46길,이태원2동,143517691,-22156856,-13.4,47251,150,94502,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,서울 용산구 이태원역,이태원1동,627732237,-716134219,-53.3,66007,88,132014,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,용산구청,이태원1동,147725044,-53544342,-26.6,3853,90,7706,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,이태원 관광특구,이태원1동,1601467284,-675579781,-29.7,244439,85,488878,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,이태원로27길,이태원1동,690256897,-274130945,-28.4,42558,77,85116,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,이태원시장,이태원1동,431099009,-81768567,-15.9,4052,617,8104,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,이태원제일시장,이태원2동,86033486,-143068946,-62.4,8516,599,17032,1,1,0,0,0,0,0,0,1,0,72
2020년 3분기,회나무로13길,이태원2동,225468728,30750572,15.8,60018,39,120036,1,1,0,0,0,0,0,0,1,0,72
2020년 4분기,녹사평대로26길,이태원1동,567486571,66378303,13.2,30150,35,60300,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,녹사평대로32길,이태원1동,293400202,-253603700,-46.4,41165,1586,82330,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,녹사평대로40나길,이태원2동,132659705,-144467671,-52.1,44202,1550,88404,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,녹사평대로46길,이태원2동,136294806,-30547249,-18.3,44460,167,88920,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,서울 용산구 이태원역,이태원1동,621520423,-723450732,-53.8,68003,155,136006,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,용산구청,이태원1동,194456609,-45999439,-19.1,4409,151,8818,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,이태원 관광특구,이태원1동,1728825725,-878897237,-33.7,248378,151,496756,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,이태원로27길,이태원1동,912068550,-766164466,-45.7,42134,4,84268,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,이태원시장,이태원1동,472483963,-175667222,-27.1,4595,7,9190,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,이태원제일시장,이태원2동,77001673,-178350654,-69.8,8388,155,16776,1,0,0,0,0,0,0,0,0,1,294
2020년 4분기,회나무로13길,이태원2동,202582082,-18894395,-8.5,55654,149,111308,1,0,0,0,0,0,0,0,0,1,294
