Unnamed: 0,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
96091,6,11170520,1121,서울,용산구,용산2가동,2018,1
96191,12,11170700,444,서울,용산구,보광동,2018,1
96863,0,11170520,555,서울,용산구,용산2가동,2018,1
96988,8,11170690,584,서울,용산구,서빙고동,2018,1
97802,2,11170690,610,서울,용산구,서빙고동,2018,1
98223,1,11170660,705,서울,용산구,이태원2동,2018,1
98585,21,11170520,595,서울,용산구,용산2가동,2018,1
99494,23,11170690,483,서울,용산구,서빙고동,2018,1
99908,22,11170660,1531,서울,용산구,이태원2동,2018,1
101007,10,11170660,664,서울,용산구,이태원2동,2018,1
101075,13,11170510,618,서울,용산구,후암동,2018,1
102845,12,11170530,1105,서울,용산구,남영동,2018,1
102881,14,11170555,754,서울,용산구,청파동,2018,1
103189,7,11170530,910,서울,용산구,남영동,2018,1
103207,8,11170555,468,서울,용산구,청파동,2018,1
104172,12,11170560,499,서울,용산구,원효로1동,2018,1
104537,8,11170625,783,서울,용산구,한강로동,2018,1
105408,6,11170560,639,서울,용산구,원효로1동,2018,1
108146,13,11170590,507,서울,용산구,용문동,2018,1
108249,18,11170570,403,서울,용산구,원효로2동,2018,1
108443,5,11170590,574,서울,용산구,용문동,2018,1
110409,11,11170580,605,서울,용산구,효창동,2018,1
110435,12,11170640,586,서울,용산구,이촌2동,2018,1
111711,5,11170685,903,서울,용산구,한남동,2018,1
115011,8,11170650,784,서울,용산구,이태원1동,2018,1
115888,2,11170650,2217,서울,용산구,이태원1동,2018,1
117610,23,11170650,751,서울,용산구,이태원1동,2018,1
117714,5,11170520,485,서울,용산구,용산2가동,2018,1
117809,11,11170700,428,서울,용산구,보광동,2018,1
119426,1,11170690,639,서울,용산구,서빙고동,2018,1
119833,0,11170660,700,서울,용산구,이태원2동,2018,1
120192,20,11170520,606,서울,용산구,용산2가동,2018,1
121090,22,11170690,564,서울,용산구,서빙고동,2018,1
121505,21,11170660,653,서울,용산구,이태원2동,2018,1
122175,9,11170660,763,서울,용산구,이태원2동,2018,1
122659,12,11170510,574,서울,용산구,후암동,2018,1
123840,4,11170510,442,서울,용산구,후암동,2018,1
123841,4,11170530,1077,서울,용산구,남영동,2018,1
124121,19,11170520,570,서울,용산구,용산2가동,2018,1
124122,19,11170530,930,서울,용산구,남영동,2018,1
126131,5,11170510,474,서울,용산구,후암동,2018,1
126694,11,11170560,524,서울,용산구,원효로1동,2018,1
127446,4,11170590,495,서울,용산구,용문동,2018,1
129836,6,11170640,466,서울,용산구,이촌2동,2018,1
129852,7,11170640,464,서울,용산구,이촌2동,2018,1
130177,0,11170690,538,서울,용산구,서빙고동,2018,1
130548,18,11170520,617,서울,용산구,용산2가동,2018,1
131336,8,11170640,465,서울,용산구,이촌2동,2018,1
132071,21,11170690,576,서울,용산구,서빙고동,2018,1
136601,8,11170700,648,서울,용산구,보광동,2018,1
136843,20,11170650,1483,서울,용산구,이태원1동,2018,1
139087,17,11170520,498,서울,용산구,용산2가동,2018,1
139986,19,11170690,591,서울,용산구,서빙고동,2018,1
140447,20,11170690,740,서울,용산구,서빙고동,2018,1
141547,6,11170510,585,서울,용산구,후암동,2018,1
141548,6,11170660,788,서울,용산구,이태원2동,2018,1
141593,9,11170510,431,서울,용산구,후암동,2018,1
142361,3,11170510,552,서울,용산구,후암동,2018,1
